Title,Year of Release,IMDb Rating
Title,Year of Release,IMDb Rating
Brave,2012,7.1
Title,Year of Release,IMDb Rating
Avatar,2009,7.8
Title,Year of Release,IMDb Rating
Avatar,2009,7.8
Title,Year of Release,IMDb Rating
Avatar,2009,7.8
Title,Year of Release,IMDb Rating
Bullet Train,2022,7.3
Title,Year of Release,IMDb Rating
Toy Story,1995,8.3
Title,Year of Release,IMDb Rating
Avatar,2009,7.8
Title,Year of Release,IMDb Rating
Peaky Blinders,2013â€“2022,8.8
Title,Year of Release,IMDb Rating
Export,2008,N/A
Title,Year of Release,IMDb Rating
Avatar,2009,7.8
Title,Year of Release,IMDb Rating
Kaththi,2014,8.0
Title,Year of Release,IMDb Rating
Avatar,2009,7.8
Title,Year of Release,IMDb Rating
Kabali,2016,6.1
Title,Year of Release,IMDb Rating
Tamasha,2015,7.3
Title,Year of Release,IMDb Rating
Top Gun: Maverick,2022,8.4
